# A 창 감시 하트비트 — 60초 주기. 마지막 줄이 마지막으로 확인된 정상 시각이다.
# ⚠ events·busy 는 **누적값**이다. 구간값이 필요하면 두 줄을 빼라(원장 6.8).
iso	log_bytes	events	tap_alive	busy
2026-08-16T19:46:41	1694424	9	1	64
2026-08-16T19:47:41	1704577	9	1	64
2026-08-16T19:48:41	1714785	9	1	64
2026-08-16T19:49:41	1724993	9	1	64
2026-08-16T19:50:41	1735017	9	1	64
2026-08-16T19:51:42	1745228	9	1	64
2026-08-16T19:52:42	1755439	9	1	64
2026-08-16T19:53:42	1765647	9	1	64
2026-08-16T19:54:42	1775576	9	1	64
2026-08-16T19:55:42	1785981	9	1	64
2026-08-16T19:56:42	1796192	9	1	64
2026-08-16T19:57:42	1806213	9	1	64
2026-08-16T19:58:42	1816424	9	1	64
2026-08-16T19:59:42	1826448	9	1	64
2026-08-16T20:00:42	1836659	9	1	64
2026-08-16T20:01:42	1846867	9	1	64
2026-08-16T20:02:42	1856891	9	1	64
2026-08-16T20:03:42	1867102	9	1	64
2026-08-16T20:04:42	1877313	9	1	64
2026-08-16T20:05:42	1887524	9	1	64
2026-08-16T20:06:42	1897640	9	1	64
2026-08-16T20:07:42	1907759	9	1	64
2026-08-16T20:08:42	1917875	9	1	64
2026-08-16T20:09:42	1929016	10	1	64
2026-08-16T20:09:57	1931377	10	1	64
2026-08-16T20:10:57	1941603	10	1	64
2026-08-16T20:11:57	1951823	10	1	64
2026-08-16T20:12:57	1962049	10	1	64
2026-08-16T20:13:57	1972368	10	1	64
2026-08-16T20:14:57	1982687	10	1	64
2026-08-16T20:15:57	1992874	10	1	64
2026-08-16T20:16:57	2002947	10	1	64
2026-08-16T20:17:34	2009430	10	1	64
2026-08-16T20:17:51	2012507	10	1	64
