# 창2 상시 요약 — **누적값**이다(구간값 아님). 판정 자료가 아니라 생존 눈금이다.
iso	ser_bytes	ser_lines	ser_last	event	banner	resync	skip	okto	busy	tx	sendok	ipd	srv_accept	srv_sframe	srv_ack	srv_down	tap_pids	grew
2026-08-17T00:24:01	10357	226	00:24:00	0	1	0	0	0	0	47	47	0	21	13399	8	8	60080	?
2026-08-17T00:29:01	59660	1320	00:29:01	0	1	0	0	0	0	318	318	0	21	13669	8	8	60080	yes
2026-08-17T00:34:01	108781	2406	00:34:01	0	1	0	0	0	0	587	587	0	21	13939	8	8	60080	yes
2026-08-17T00:39:01	157887	3494	00:39:01	0	1	0	0	0	0	857	857	0	21	14209	8	8	60080	yes
2026-08-17T00:44:01	207645	4577	00:44:01	0	1	0	1	0	0	1125	1125	0	21	14477	8	8	60080	yes
2026-08-17T00:49:02	257853	5663	00:49:01	0	1	0	1	0	0	1394	1394	0	21	14745	8	8	60080	yes
2026-08-17T00:54:02	307794	6742	00:54:00	0	1	0	2	0	0	1661	1661	0	21	15013	8	8	60080	yes
2026-08-17T00:59:02	358179	7832	00:59:01	0	1	0	2	0	0	1931	1931	0	21	15282	8	8	60080	yes
2026-08-17T01:04:02	408214	8912	01:04:02	0	1	0	4	0	0	2198	2198	0	21	15549	8	8	60080	yes
2026-08-17T01:09:02	458154	9991	01:09:01	0	1	0	5	0	0	2465	2465	0	21	15817	8	8	60080	yes
2026-08-17T01:14:02	508356	11077	01:14:02	0	1	0	5	0	0	2734	2734	0	21	16086	8	8	60080	yes
2026-08-17T01:19:02	558476	12160	01:19:02	0	1	0	6	0	0	3002	3002	0	21	16353	8	8	60080	yes
2026-08-17T01:24:02	608416	13243	01:24:02	0	1	0	7	0	0	3270	3270	0	21	16621	8	8	60080	yes
2026-08-17T01:29:02	659724	14350	01:29:02	0	1	0	7	0	0	3539	3539	1	22	16889	9	9	60080	yes
2026-08-17T01:34:03	709930	15436	01:34:02	0	1	0	7	0	0	3808	3808	1	22	17158	9	9	60080	yes
