# win3 상시 요약 — 원본 monitor/serial-win3.log · **누적값**이다(구간값 아님).
# 판정 자료가 아니라 생존 눈금이다. 갈래·λ·도달률을 여기서 만들지 마라.
iso	ser_bytes	ser_lines	ser_last	event	banner	resync	skip	okto	busy	tx	sendok	ipd	stall	srv_accept	srv_sframe	srv_ack	srv_down	tap_pids	grew
2026-08-17T01:35:29	724414	15748	01:35:28	0	1	0	7	0	0	3885	3885	1	1	22	17236	9	9	60080	?
2026-08-17T01:36:16	732295	15918	01:36:16	0	1	0	7	0	0	3927	3927	1	1	22	17277	9	9	60080	?
2026-08-17T01:41:16	782314	17000	01:41:15	0	1	0	7	0	0	4195	4195	1	1	22	17546	9	9	60080	yes
2026-08-17T01:46:16	832516	18086	01:46:15	0	1	0	7	0	0	4464	4464	1	1	22	17815	9	9	60080	yes
2026-08-17T01:51:16	883514	19166	01:51:15	0	1	0	12	1	7	4722	4721	1	1	22	18073	9	9	60080	yes
2026-08-17T01:56:16	934022	20245	01:56:15	0	1	0	16	2	10	4983	4982	1	1	22	18334	9	9	60080	yes
2026-08-17T02:01:16	984229	21331	02:01:16	0	1	0	16	2	10	5252	5251	1	1	22	18603	9	9	60080	yes
2026-08-17T02:06:17	1034240	22415	02:06:16	0	1	0	16	2	10	5521	5520	1	1	22	18872	9	9	60080	yes
2026-08-17T02:11:17	1084455	23501	02:11:16	0	1	0	16	2	10	5790	5789	1	1	22	19140	9	9	60080	yes
2026-08-17T02:16:17	1134577	24584	02:16:17	0	1	0	17	2	10	6058	6057	1	1	22	19408	9	9	60080	yes
2026-08-17T02:21:17	1184784	25670	02:21:17	0	1	0	17	2	10	6327	6326	1	1	22	19677	9	9	60080	yes
2026-08-17T02:26:17	1234906	26753	02:26:17	0	1	0	18	2	10	6595	6594	1	1	22	19945	9	9	60080	yes
2026-08-17T02:31:17	1285113	27839	02:31:17	0	1	0	18	2	10	6864	6863	1	1	22	20214	9	9	60080	yes
