# win4 상시 요약 — 원본 monitor/serial-win4.log · **누적값**이다(구간값 아님).
# 판정 자료가 아니라 생존 눈금이다. 갈래·λ·도달률을 여기서 만들지 마라.
iso	ser_bytes	ser_lines	ser_last	fail3	banner	txresync	txwait_skip	txwait_okto	busy	tx	sendok	ipd	stall	srv_accept	srv_sframe	srv_ack	srv_down	tap_pids	grew
2026-08-17T07:54:24	25046	556	07:54:23	0	1	0	0	0	0	129	129	0	0	24	37448	9	9	53235	?
2026-08-17T07:59:24	74962	1653	07:59:23	1	1	3	0	0	0	392	392	0	0	25	37711	9	12	53235	yes
2026-08-17T08:04:25	124262	2743	08:04:24	1	1	3	0	0	0	662	662	0	0	25	37981	9	12	53235	yes
2026-08-17T08:07:47	157422	3477	08:07:46	1	1	3	0	0	0	844	844	0	0	25	38163	9	12	53235	?
2026-08-17T08:08:24	163702	3615	08:08:24	1	1	3	0	0	0	878	878	0	0	25	38196	9	12	53235	?
2026-08-17T08:10:37	185613	4095	08:10:37	1	1	3	0	0	0	997	997	0	0	25	38316	9	12	53235	?
2026-08-17T08:15:37	236021	5181	08:15:37	1	1	3	2	1	2	1263	1263	0	0	25	38581	9	12	53235	yes
2026-08-17T08:20:37	286223	6263	08:20:36	1	1	3	2	1	2	1531	1531	0	0	25	38850	9	12	53235	yes
2026-08-17T08:25:37	336343	7346	08:25:37	1	1	3	3	1	2	1799	1799	0	0	25	39117	9	12	53235	yes
2026-08-17T08:30:38	386460	8429	08:30:37	1	1	3	4	1	2	2067	2067	0	0	25	39385	9	12	53235	yes
2026-08-17T08:35:38	436492	9509	08:35:37	1	1	3	6	1	2	2334	2334	0	0	25	39652	9	12	53235	yes
2026-08-17T08:40:38	486694	10595	08:40:37	1	1	3	6	1	2	2603	2603	0	0	25	39921	9	12	53235	yes
2026-08-17T08:45:38	536719	11676	08:45:38	1	1	3	7	1	2	2871	2870	0	0	25	40189	9	12	53235	yes
2026-08-17T08:50:38	586745	12757	08:50:38	1	1	3	8	1	2	3138	3138	0	0	25	40457	9	12	53235	yes
2026-08-17T08:55:38	636793	13835	08:55:38	1	1	3	12	1	2	3404	3404	0	0	25	40722	9	12	53235	yes
2026-08-17T09:00:39	687148	14919	09:00:38	1	1	3	13	2	3	3671	3671	0	0	25	40989	9	12	53235	yes
2026-08-17T09:05:39	740540	16033	09:05:38	1	1	3	18	5	18	3919	3919	0	1	26	41238	9	12	53235	yes
2026-08-17T09:10:39	790662	17116	09:10:38	1	1	3	19	5	18	4187	4187	0	1	26	41506	9	12	53235	yes
2026-08-17T09:15:39	843090	18214	09:15:38	1	1	3	20	6	30	4438	4436	0	2	27	41756	9	12	53235	yes
2026-08-17T09:20:39	893812	19291	09:20:39	1	1	3	25	9	34	4698	4697	0	2	27	42017	9	12	53235	yes
2026-08-17T09:25:40	945286	20369	09:25:39	1	1	3	32	13	43	4952	4951	0	2	27	42271	9	12	53235	yes
2026-08-17T09:30:40	995774	21449	09:30:39	1	1	3	35	14	46	5215	5214	0	2	27	42534	9	12	53235	yes
2026-08-17T09:35:40	1045986	22535	09:35:39	1	1	3	35	14	46	5484	5483	0	2	27	42803	9	12	53235	yes
2026-08-17T09:40:40	1096202	23621	09:40:39	1	1	3	35	14	46	5753	5752	0	2	27	43072	9	12	53235	yes
2026-08-17T09:45:40	1146342	24702	09:45:40	1	1	3	38	14	46	6020	6019	0	2	27	43338	9	12	53235	yes
2026-08-17T09:50:41	1198340	25770	09:50:40	1	1	3	51	21	59	6265	6264	0	2	27	43583	9	12	53235	yes
2026-08-17T09:55:41	1248806	26842	09:55:41	1	1	3	57	23	63	6524	6523	0	2	27	43843	9	12	53235	yes
2026-08-17T10:00:41	1299018	27928	10:00:41	1	1	3	57	23	63	6793	6792	0	2	27	44112	9	12	53235	yes
2026-08-17T10:05:41	1349060	29008	10:05:41	1	1	3	59	23	63	7060	7059	0	2	27	44379	9	12	53235	yes
2026-08-17T10:10:42	1399102	30088	10:10:41	1	1	3	61	23	63	7327	7326	0	2	27	44646	9	12	53235	yes
2026-08-17T10:15:42	1449229	31171	10:15:41	1	1	3	62	23	63	7595	7594	0	2	27	44914	9	12	53235	yes
2026-08-17T10:20:42	1499441	32261	10:20:42	1	1	3	62	23	63	7865	7864	0	2	27	45183	9	12	53235	yes
2026-08-17T10:25:42	1549483	33341	10:25:42	1	1	3	64	23	63	8132	8131	0	2	27	45450	9	12	53235	yes
2026-08-17T10:30:43	1599695	34427	10:30:43	1	1	3	64	23	63	8401	8400	0	2	27	45719	9	12	53235	yes
2026-08-17T10:35:43	1649907	35509	10:35:43	1	1	3	64	23	63	8669	8668	0	2	27	45988	9	12	53235	yes
2026-08-17T10:40:43	1700309	36595	10:40:43	1	1	3	64	23	63	8938	8937	0	2	27	46256	9	12	53235	yes
2026-08-17T10:45:43	1750879	37677	10:45:43	1	1	3	64	23	63	9206	9205	0	2	27	46525	9	12	53235	yes
2026-08-17T10:50:44	1801505	38760	10:50:43	1	1	3	64	23	63	9475	9473	0	2	27	46793	9	12	53235	yes
2026-08-17T10:55:44	1852325	39842	10:55:44	1	1	3	64	23	63	9732	9731	0	2	28	47051	9	12	53235	yes
2026-08-17T11:00:44	1902895	40924	11:00:43	1	1	3	64	23	63	10000	9999	0	2	28	47319	9	12	53235	yes
2026-08-17T11:05:45	1954005	42006	11:05:44	1	1	3	64	23	63	10268	10267	0	2	28	47587	9	12	53235	yes
2026-08-17T11:10:45	2004933	43082	11:10:44	1	1	3	66	23	63	10534	10533	0	2	28	47853	9	12	53235	yes
2026-08-17T11:15:45	2056226	44168	11:15:45	1	1	3	66	23	63	10803	10802	0	2	28	48121	9	12	53235	yes
2026-08-17T11:20:46	2107243	45247	11:20:45	1	1	3	67	23	63	11070	11069	0	2	28	48388	9	12	53235	yes
2026-08-17T11:25:46	2158255	46327	11:25:45	1	1	3	67	23	63	11338	11336	0	2	28	48656	9	12	53235	yes
