# winA 상시 요약 — 원본 monitor/serial-winA.log · **누적값**이다(구간값 아님).
# 판정 자료가 아니라 생존 눈금이다. 갈래·λ·도달률을 여기서 만들지 마라.
iso	ser_bytes	ser_lines	ser_last	fail3	banner	txresync	txwait_skip	txwait_okto	busy	tx	sendok	ipd	stall	srv_accept	srv_sframe	srv_ack	srv_down	tap_pids	grew
2026-08-17T20:27:32	21312	475	20:27:31	0	1	0	1	0	0	87	87	0	0	42	60655	106	199	51860	?
2026-08-17T20:32:32	77883	1708	20:32:31	0	1	0	9	0	0	328	328	0	0	42	60897	106	199	51860	yes
2026-08-17T20:37:32	134906	2960	20:37:31	0	1	0	11	0	0	576	575	0	0	42	61144	106	199	51860	yes
2026-08-17T20:42:32	209015	4745	20:42:32	0	1	0	18	0	0	914	914	96	0	42	61387	203	296	51860	yes
2026-08-17T20:47:32	311353	7342	20:47:32	0	1	0	35	0	0	1397	1397	347	0	42	61626	452	546	51860	yes
2026-08-17T20:52:32	417821	10005	20:52:32	0	1	0	69	0	0	1859	1859	594	0	42	61870	700	796	51860	yes
2026-08-17T20:57:33	511984	12269	20:57:32	0	1	0	115	0	1	2255	2255	789	0	43	62095	892	991	51860	yes
2026-08-17T21:02:33	618372	14746	21:02:32	0	1	0	223	0	1	2632	2631	1026	0	44	62315	1126	1237	51860	yes
2026-08-17T21:07:33	683946	16183	21:07:32	0	1	0	238	0	1	2900	2898	1060	0	44	62561	1158	1271	51860	yes
2026-08-17T21:12:33	742262	17437	21:12:33	0	1	0	239	0	1	3148	3147	1060	0	44	62810	1158	1271	51860	yes
