# winA2 상시 요약 — 원본 monitor/serial-winA2.log · **누적값**이다(구간값 아님).
# 판정 자료가 아니라 생존 눈금이다. 갈래·λ·도달률을 여기서 만들지 마라.
iso	ser_bytes	ser_lines	ser_last	fail3	banner	txresync	txwait_skip	txwait_okto	txwait_t2	cksumng_lines	slotline	slotoow	busy	tx	sendok	ipd	stall	srv_accept	srv_sframe	srv_ack	srv_down	tap_pids	grew
2026-08-17T21:22:54	23403	509	21:22:54	0	1	0	2	0	0	0	95	0	0	93	93	0	0	46	63286	1158	1271	50028	?
2026-08-17T21:27:54	90742	2013	21:27:54	0	1	0	25	1	1	0	344	35	0	364	363	46	0	47	63528	1204	1320	50028	yes
2026-08-17T21:32:54	147984	3270	21:32:54	0	1	0	26	1	1	0	594	35	0	613	612	46	0	47	63776	1204	1320	50028	yes
2026-08-17T21:37:55	204995	4517	21:37:53	0	1	0	29	2	1	0	843	35	0	859	858	46	0	47	64023	1204	1320	50028	yes
2026-08-17T21:42:55	262815	5769	21:42:55	0	1	0	31	2	1	0	1093	35	0	1107	1105	46	0	47	64269	1204	1320	50028	yes
2026-08-17T21:47:55	320653	7012	21:47:54	0	1	0	35	2	1	0	1342	35	0	1352	1351	46	0	47	64516	1204	1320	50028	yes
2026-08-17T21:52:55	379148	8269	21:52:55	0	1	0	36	2	1	0	1592	35	0	1601	1600	46	0	47	64764	1204	1320	50028	yes
2026-08-17T21:57:56	437627	9514	21:57:55	1	1	3	37	2	1	0	1831	35	0	1836	1834	46	0	48	64998	1204	1320	50028	yes
2026-08-17T22:02:56	496943	10767	22:02:55	1	1	3	43	3	2	0	2072	35	3	2070	2069	46	0	49	65233	1204	1320	50028	yes
2026-08-17T22:07:56	555032	12013	22:07:55	1	1	3	46	3	2	0	2321	35	3	2316	2315	46	0	49	65479	1204	1320	50028	yes
2026-08-17T22:12:56	613517	13270	22:12:56	1	1	3	47	3	2	0	2571	35	3	2565	2564	46	0	49	65728	1204	1320	50028	yes
2026-08-17T22:17:57	671998	14528	22:17:56	1	1	3	47	3	2	0	2821	35	3	2815	2813	46	0	49	65978	1204	1320	50028	yes
2026-08-17T22:22:57	730261	15779	22:22:57	1	1	3	49	3	2	0	3070	35	3	3062	3061	46	0	49	66225	1204	1320	50028	yes
2026-08-17T22:27:57	788838	17039	22:27:57	1	1	3	49	3	2	0	3320	35	3	3312	3311	46	0	49	66475	1204	1320	50028	yes
2026-08-17T22:32:57	847179	18294	22:32:57	1	1	3	49	3	2	0	3569	35	3	3561	3560	46	0	49	66724	1204	1320	50028	yes
