# winC 상시 요약 — 원본 monitor/serial-winC.log · **누적값**이다(구간값 아님).
# 판정 자료가 아니라 생존 눈금이다. 갈래·λ·도달률을 여기서 만들지 마라.
iso	ser_bytes	ser_lines	ser_last	fail3	banner	txresync	txwait_skip	txwait_okto	txwait_t2	cksumng_lines	slotline	slotoow	busy	tx	sendok	ipd	stall	srv_accept	srv_sframe	srv_ack	srv_down	tap_pids	grew
2026-08-18T01:20:02	1178	19	01:19:59	0	1	0	0	0	0	0	0	0	0	0	0	0	0	56	74885	1804	1930	27195	?
2026-08-18T01:25:02	70732	1582	01:25:01	0	1	0	5	1	0	0	246	77	0	241	241	80	0	57	75127	1884	2010	27195	yes
2026-08-18T01:30:02	147820	3315	01:30:01	0	1	0	11	2	0	3	495	199	0	484	484	205	0	57	75370	2005	2136	27195	yes
2026-08-18T01:35:03	222807	5000	01:35:02	0	1	0	15	2	0	4	746	304	0	731	731	313	0	57	75616	2112	2243	27195	yes
2026-08-18T01:40:03	280179	6252	01:40:03	0	1	0	16	2	0	4	995	304	0	979	979	313	0	57	75864	2112	2243	27195	yes
2026-08-18T01:45:03	338549	7504	01:45:03	0	1	0	19	3	0	4	1245	304	0	1226	1226	313	0	57	76111	2112	2243	27195	yes
2026-08-18T01:50:03	396657	8748	01:50:03	0	1	0	23	4	0	4	1494	304	0	1471	1471	313	0	57	76356	2112	2243	27195	yes
2026-08-18T01:55:04	455069	10000	01:55:04	0	1	0	26	5	0	4	1744	304	0	1718	1718	313	0	57	76603	2112	2243	27195	yes
2026-08-18T02:00:04	513245	11249	02:00:04	0	1	0	28	5	0	4	1993	304	0	1965	1965	313	0	57	76850	2112	2243	27195	yes
2026-08-18T02:05:04	571826	12509	02:05:04	0	1	0	28	5	0	4	2243	304	0	2215	2215	313	0	57	77100	2112	2243	27195	yes
2026-08-18T02:10:05	629838	13752	02:10:04	0	1	0	32	5	0	4	2492	304	0	2460	2460	313	0	57	77345	2112	2243	27195	yes
2026-08-18T02:15:05	687736	14987	02:15:04	0	1	0	40	6	0	4	2742	304	0	2702	2701	313	0	57	77586	2112	2243	27195	yes
2026-08-18T02:20:05	745590	16221	02:20:05	0	1	0	48	7	0	4	2991	304	0	2943	2943	313	0	57	77829	2112	2243	27195	yes
2026-08-18T02:25:05	803328	17449	02:25:05	0	1	0	59	8	0	4	3241	304	0	3182	3182	313	0	57	78067	2112	2243	27195	yes
2026-08-18T02:30:06	861595	18701	02:30:05	0	1	0	60	8	0	4	3490	304	0	3430	3430	313	0	57	78316	2112	2243	27195	yes
2026-08-18T02:35:06	920170	19961	02:35:05	0	1	0	60	8	0	4	3740	304	0	3680	3680	313	0	57	78565	2112	2243	27195	yes
2026-08-18T02:40:06	978176	21211	02:40:06	0	1	0	61	8	0	4	3989	304	0	3928	3928	313	0	57	78814	2112	2243	27195	yes
2026-08-18T02:45:07	1036589	22466	02:45:06	0	1	0	62	8	0	4	4239	304	0	4177	4176	313	0	57	79062	2112	2243	27195	yes
2026-08-18T02:50:07	1094772	23719	02:50:07	0	1	0	65	8	0	4	4489	304	0	4424	4424	313	0	57	79309	2112	2243	27195	yes
2026-08-18T02:55:07	1153262	24971	02:55:07	0	1	0	66	8	0	4	4738	304	0	4672	4672	313	0	57	79557	2112	2243	27195	yes
2026-08-18T03:00:08	1211673	26225	03:00:07	0	1	0	68	8	0	4	4988	304	0	4920	4920	313	0	57	79805	2112	2243	27195	yes
2026-08-18T03:05:08	1269943	27477	03:05:08	0	1	0	69	8	0	4	5237	304	0	5168	5168	313	0	57	80054	2112	2243	27195	yes
2026-08-18T03:10:08	1328271	28728	03:10:08	0	1	0	72	8	0	4	5487	304	0	5415	5415	313	0	57	80300	2112	2243	27195	yes
2026-08-18T03:15:09	1386447	29977	03:15:08	0	1	0	74	8	0	4	5736	304	0	5662	5662	313	0	57	80548	2112	2243	27195	yes
2026-08-18T03:20:09	1444943	31234	03:20:08	0	1	0	75	8	0	4	5986	304	0	5911	5911	313	0	57	80797	2112	2243	27195	yes
2026-08-18T03:25:09	1503719	32487	03:25:08	1	1	3	80	9	0	4	6232	304	0	6149	6149	313	0	58	81035	2112	2243	27195	yes
2026-08-18T03:30:10	1562832	33743	03:30:10	2	1	6	91	11	1	4	6479	304	0	6381	6380	313	0	60	81266	2112	2243	27195	yes
2026-08-18T03:35:10	1621333	34995	03:35:10	2	1	6	92	11	1	4	6728	304	0	6629	6628	313	0	60	81514	2112	2243	27195	yes
2026-08-18T03:40:10	1679526	36235	03:40:10	2	1	6	99	12	1	4	6978	304	0	6872	6870	313	0	60	81757	2112	2243	27195	yes
2026-08-18T03:45:11	1737692	37475	03:45:10	2	1	6	109	12	2	4	7227	304	0	7110	7108	313	0	61	81996	2112	2243	27195	yes
2026-08-18T03:50:11	1794921	38673	03:50:10	2	1	6	131	18	2	4	7477	304	0	7338	7335	313	0	61	82223	2112	2243	27195	yes
2026-08-18T03:55:12	1852547	39899	03:55:12	2	1	6	144	21	2	4	7727	304	0	7575	7573	313	0	61	82460	2112	2243	27195	yes
2026-08-18T04:00:12	1906770	41020	04:00:12	2	1	6	161	23	3	4	7946	304	4	7776	7774	313	0	62	82662	2112	2243	27195	yes
2026-08-18T04:05:12	1966954	42296	04:05:12	4	1	12	168	24	4	4	8189	304	4	8005	8002	313	0	65	82890	2112	2243	27195	yes
2026-08-18T04:10:13	2025236	43512	04:10:11	4	1	12	188	29	6	4	8434	304	4	8228	8223	313	0	67	83114	2112	2243	27195	yes
2026-08-18T04:15:13	2083916	44753	04:15:13	4	1	12	195	31	6	4	8684	304	4	8471	8466	313	0	67	83357	2112	2243	27195	yes
2026-08-18T04:20:14	2143356	46008	04:20:12	5	1	15	200	32	6	4	8930	304	4	8709	8704	313	0	68	83595	2112	2243	27195	yes
2026-08-18T04:25:14	2202208	47238	04:25:14	6	1	18	217	36	6	4	9178	304	4	8937	8931	313	0	69	83821	2112	2243	27195	yes
2026-08-18T04:30:14	2260752	48469	04:30:14	6	1	18	226	37	6	4	9427	304	4	9177	9172	313	0	69	84063	2112	2243	27195	yes
2026-08-18T04:35:15	2319621	49718	04:35:14	6	1	18	230	38	6	4	9677	304	4	9423	9418	313	0	69	84308	2112	2243	27195	yes
2026-08-18T04:40:15	2378731	50961	04:40:15	7	1	21	239	39	6	4	9923	304	4	9657	9652	313	0	70	84543	2112	2243	27195	yes
2026-08-18T04:45:16	2437329	52191	04:45:16	7	1	21	252	43	6	4	10174	304	4	9895	9890	313	0	70	84780	2112	2243	27195	yes
2026-08-18T04:50:16	2496434	53430	04:50:16	7	1	21	258	45	6	4	10423	304	4	10138	10133	313	0	70	85023	2112	2243	27195	yes
2026-08-18T04:55:17	2556190	54679	04:55:17	7	1	21	261	45	6	4	10673	304	4	10385	10379	313	0	70	85270	2112	2243	27195	yes
2026-08-18T05:00:17	2615932	55936	05:00:17	7	1	21	261	45	6	4	10922	304	4	10634	10629	313	0	70	85520	2112	2243	27195	yes
2026-08-18T05:05:18	2676354	57206	05:05:18	8	1	24	262	45	6	4	11169	304	4	10877	10872	313	0	71	85762	2112	2243	27195	yes
2026-08-18T05:10:18	2735961	58457	05:10:18	8	1	24	265	45	6	4	11419	304	4	11124	11119	313	0	71	86009	2112	2243	27195	yes
2026-08-18T05:15:19	2795659	59706	05:15:18	8	1	24	267	45	6	4	11668	304	4	11371	11366	313	0	71	86257	2112	2243	27195	yes
2026-08-18T05:20:19	2856169	60974	05:20:19	9	1	27	268	45	6	4	11915	304	4	11614	11609	313	0	72	86500	2112	2243	27195	yes
2026-08-18T05:25:20	2915964	62231	05:25:19	9	1	27	269	45	6	4	12165	304	4	11863	11858	313	0	72	86748	2112	2243	27195	yes
2026-08-18T05:30:20	2975528	63488	05:30:20	9	1	27	270	45	6	4	12415	304	4	12112	12107	313	0	72	86997	2112	2243	27195	yes
2026-08-18T05:35:21	3035231	64737	05:35:20	9	1	27	272	45	6	4	12664	304	4	12359	12354	313	0	72	87245	2112	2243	27195	yes
