# winF 상시 요약 — 원본 monitor/serial-winF.log · **누적값**이다(구간값 아님).
# 판정 자료가 아니라 생존 눈금이다. 갈래·λ·도달률을 여기서 만들지 마라.
iso	ser_bytes	ser_lines	ser_last	fail3	banner	txresync	txwait_skip	txwait_okto	txwait_t2	cksumng_lines	slotline	slotoow	busy	tx	sendok	ipd	stall	srv_accept	srv_sframe	srv_ack	srv_down	tap_pids	grew
2026-08-18T15:05:02	824	14	15:05:01	0	1	0	0	0	0	0	0	0	0	0	0	0	0	88	108577	3222	3733	82574	?
2026-08-18T15:10:02	67323	1476	15:10:01	0	1	0	6	1	1	3	239	5	0	232	231	8	0	90	108810	3237	3823	82574	yes
2026-08-18T15:15:02	124636	2723	15:15:02	0	1	0	9	2	1	3	481	5	0	471	469	8	0	91	109047	3237	3823	82574	yes
2026-08-18T15:20:03	181792	3976	15:20:02	0	1	0	10	2	1	3	730	5	0	719	717	8	0	91	109296	3237	3823	82574	yes
2026-08-18T15:25:03	247944	5413	15:25:03	0	1	0	17	3	2	7	980	8	0	961	958	14	0	92	109538	3240	3916	82574	yes
2026-08-18T15:30:03	306496	6673	15:30:03	0	1	0	17	3	2	7	1230	8	0	1211	1208	14	0	92	109787	3240	3916	82574	yes
2026-08-18T15:35:04	364897	7928	15:35:03	0	1	0	17	3	2	7	1479	8	0	1460	1457	14	0	92	110037	3240	3916	82574	yes
2026-08-18T15:40:04	431549	9419	15:40:04	0	1	0	24	4	3	7	1707	21	0	1680	1675	27	0	95	110255	3292	3972	82574	yes
2026-08-18T15:45:04	510460	11185	15:45:04	0	1	0	53	9	8	7	1925	63	0	1864	1855	70	0	103	110440	3334	4131	82574	yes
2026-08-18T15:50:05	569640	12444	15:50:04	0	1	0	72	13	10	7	2163	66	0	2081	2070	73	0	106	110656	3337	4134	82574	yes
2026-08-18T15:55:05	627981	13696	15:55:04	0	1	0	73	13	10	7	2412	66	0	2329	2318	73	0	106	110905	3337	4134	82574	yes
2026-08-18T16:00:05	687566	14958	16:00:05	0	1	0	79	14	11	7	2653	67	3	2563	2552	74	0	107	111139	3338	4135	82574	yes
2026-08-18T16:05:06	746058	16210	16:05:06	0	1	0	82	15	11	7	2903	67	3	2810	2799	74	0	107	111385	3338	4135	82574	yes
2026-08-18T16:10:06	804484	17465	16:10:05	0	1	0	82	15	11	7	3152	67	3	3059	3048	74	0	107	111635	3338	4135	82574	yes
2026-08-18T16:15:06	862831	18693	16:15:06	0	1	0	90	17	12	7	3384	68	6	3282	3271	75	0	108	111858	3339	4136	82574	yes
2026-08-18T16:20:07	918270	19862	16:20:07	0	1	0	96	18	13	7	3604	69	10	3495	3484	76	0	109	112070	3340	4137	82574	yes
2026-08-18T16:25:07	973483	21026	16:25:07	0	1	0	102	19	14	7	3823	70	14	3707	3696	77	0	110	112283	3341	4138	82574	yes
